Gene	2015.TE.14784.1.19.1	2016.TE.28410.1.48.1	2016.TE.3350.1.18.1	2016.TE.4440.1.41.1	2018.TE.15762.1.12.1	2019.TE.1226.1.3.1	2019.TE.1367.1.9.1	2019.TE.602.1.8.1	2020.TE.156004.1.4.1	2022.TE.34245.1.13.1	2015.TE.14784.1.19.2	2016.TE.28410.1.48.2	2016.TE.3350.1.18.2	2016.TE.4440.1.41.2	2018.TE.15762.1.12.2	2019.TE.1226.1.3.2	2019.TE.1367.1.9.2	2019.TE.602.1.8.2	2020.TE.156004.1.4.2	2022.TE.34245.1.13.2	2015.TE.14784.1.19.3	2016.TE.28410.1.48.3	2016.TE.3350.1.18.3	2016.TE.4440.1.41.3	2018.TE.15762.1.12.3	2019.TE.1226.1.3.3	2019.TE.1367.1.9.3	2019.TE.602.1.8.3	2020.TE.156004.1.4.3	2022.TE.34245.1.13.3	2015.TE.14784.1.19.4	2016.TE.28410.1.48.4	2016.TE.3350.1.18.4	2016.TE.4440.1.41.4	2018.TE.15762.1.12.4	2019.TE.1226.1.3.4	2019.TE.1367.1.9.4	2019.TE.602.1.8.4	2020.TE.156004.1.4.4	2022.TE.34245.1.13.4	2015.TE.14784.1.19.5	2016.TE.28410.1.48.5	2016.TE.3350.1.18.5	2016.TE.4440.1.41.5	2018.TE.15762.1.12.5	2019.TE.1226.1.3.5	2019.TE.1367.1.9.5	2019.TE.602.1.8.5	2020.TE.156004.1.4.5	2022.TE.34245.1.13.5	2015.EXT.14784.1.19.1	2016.EXT.28410.1.48.1	2016.EXT.3350.1.18.1	2016.EXT.4440.1.41.1	2018.EXT.15762.1.12.1	2019.EXT.1226.1.3.1	2019.EXT.1367.1.9.1	2019.EXT.602.1.8.1	2020.EXT.156004.1.4.1	2022.EXT.34245.1.13.1	2015.EXT.14784.1.19.2	2016.EXT.28410.1.48.2	2016.EXT.3350.1.18.2	2016.EXT.4440.1.41.2	2018.EXT.15762.1.12.2	2019.EXT.1226.1.3.2	2019.EXT.1367.1.9.2	2019.EXT.602.1.8.2	2020.EXT.156004.1.4.2	2022.EXT.34245.1.13.2	2015.EXT.14784.1.19.3	2016.EXT.28410.1.48.3	2016.EXT.3350.1.18.3	2016.EXT.4440.1.41.3	2018.EXT.15762.1.12.3	2019.EXT.1226.1.3.3	2019.EXT.1367.1.9.3	2019.EXT.602.1.8.3	2020.EXT.156004.1.4.3	2022.EXT.34245.1.13.3	2015.EXT.14784.1.19.4	2016.EXT.28410.1.48.4	2016.EXT.3350.1.18.4	2016.EXT.4440.1.41.4	2018.EXT.15762.1.12.4	2019.EXT.1226.1.3.4	2019.EXT.1367.1.9.4	2019.EXT.602.1.8.4	2020.EXT.156004.1.4.4	2022.EXT.34245.1.13.4	2015.EXT.14784.1.19.5	2016.EXT.28410.1.48.5	2016.EXT.3350.1.18.5	2016.EXT.4440.1.41.5	2018.EXT.15762.1.12.5	2019.EXT.1226.1.3.5	2019.EXT.1367.1.9.5	2019.EXT.602.1.8.5	2020.EXT.156004.1.4.5	2022.EXT.34245.1.13.5
group_2980	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2979	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2978	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
purD	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2977	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2976	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2975	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2974	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
purF	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
yfhP	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
gatB	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2972	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2971	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2970	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2969	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2968	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
gltC	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2967	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2966	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
gatA	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2965	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2964	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2963	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2962	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2961	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
gltD	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2959	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
zitB	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2956	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2954	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2953	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2950	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2946	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2945	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2944	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	absence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2941	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	absence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2940	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	absence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2935	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	absence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
group_2934	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	absence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
dnaN	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	absence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence	presence	presence	presence	presence	presence	absence	presence	presence	presence	presence
